Name,Image_link,Product_link,Price,Sales
htfu Hard Work No Limits Bucket Hat,https://assets.kogan.com/images/giftbox/GBO-578026/1-3417caf122-578026_000_001.png?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=90&width=340,https://www.kogan.com/au/buy/giftbox-htfu-hard-work-no-limits-bucket-hat-578026/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=n6vQg3AnDqHJ8G7PlRoFLUE322Bgoiy1cAfWxcrje-V3Fy2S7z7tsWCB3_Il4xiMyKXhw9q6eO2WjNgUgMspKhfv0anXo7TxmcU50HhZ5FHM9t7nK0W0PRViQxnzQjW_iIB0sM-VNlYz-N-GtFy5iB4gq-fgjJGUw2PEYYE60a-N1_2qoHB57TI_bUaCJ9RnnI0FcgCypCfcT0mMT9KZ5bOrgzhoG-gkYRl9MukfOv0vhLNJqrcP4aAASztbKAE5hva6mQny5rE2ETibVdUOoGBPLy7T2VOR9y3o0efIhjMUWh2jdXGjDjnA9zewrw5WjK07vXt3IKlx9t-LCNwFQ2rZQTJt02yuGzz3tQybAWSWvCFbFW5hq-kDsPiBMa2z-_NN2Lf322xgD986TRHGl52aRWD_JDM299POjkqkNuEH4BFZcChbqpLZLlicGAxSOzcSc4ZrBkX5i16W0h1FL3CBAb67d0G2aRrsH9xo5xeU7T4SCHi_Q2hds53RDXtORGgmPKLCjtTCY5pTJ5mSZjUBH_IuVPfjtR3kQH8oUGalxesedlFXU6elueokrXzRht8yFZVOT_WBZk__3V1IleXNQ9grA5Tx67FoN3DetaYTzcfv0GRRBNGMWYnIaU9Lu0WFtpCoETRfbnhVISzCyKqrBmWlgEm69g0bZvKS5pNFZZVI83mUbD3Ph5W-pUb9sqKnFG5gLM3TEUjwtei5UrRwEm7lYOA_6-BjRQfULi-x9j8i3x_pQdrjRML5YL8tv76UYrt0PDO8y3RKk1RX4nvUIg_OATmueHpiAkvgbkeGIq9TROjS-YSgPCMBt7agWOsHLfeVBHO2mWCvreGhiLJ9KjUQU4LKgPGSxX-w2tJDkfXjexIeUlZmuXIbSEGJIab77Dz50RZnS0qHcKb_r9RvWPmBM2yG4O1eWY_878Pwgt9Dtskpt28yx1kv7LSXXOZFbQgTnjNx4WrYH4Z0J-XjYvLsCA0_MKod-yjCmVMserI0nBPiXFCo01cFEpu0RSP434W9-HAiRw9RacDRbvCmV_9p7l7SOp7fgAmHWmka_ojeKFefRRQoHieXte0JgqVw_uX-0f3jZIRutEOBPY5LD6bIsYbcepeIyRBEwvFTB0SdEb48FnaggMojgQnQEODuX8HFYqph10ix2mhO8wPQKiI38_TBcYcQSZq9JogTdz15PWiNBHjOXnDazGpVhiM%3D,25,
Black Cheech And Chong Towelling Bucket Hat w Logo,https://assets.kogan.com/images/giftbox/GBO-590866/1-f531d96823-590866_001.png?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=90&width=340,https://www.kogan.com/au/buy/giftbox-black-cheech-and-chong-towelling-bucket-hat-w-logo-590866/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=7S1fx_L7qxS2UJTj_mzJrVnHmQ9AmDTAP59FWJ9-ZqVhza3_CIjz0Cp0wOOe5xlUp41e4cztT-JNNnUoKXHMkwFSpQazof_ngJPuvg6S52mrgdAghyqz5qfw6aPaIkOI2ZJN8lyi0kKb-d9pQzXuISKN3PjEzx-_R5Ocm8-iYXaJWTjpaVHXo1lSJGTYByFA4Vkqc9b5fGQmIfbP4_f6JIcoJ8MxGDha1F17NMBaXWIYrDNZdUxCYf0LVeQRJj-dFbMDpRvqd73OVhilfQayI5xAvVdJg4PvFkAIGRaFq5PjwTcaTZHNdUOWXBlb0NetF1NEvJF8guA6aaRBvpivKwXVv1k5aoUKqlI7PAuzi75JRAKmYpYCAgnPsIRfNpxkGd6Kt_rgxjY4H3rzgWlL-5tJrJ9H30oIy3mPYbQBY2uVX-bVd4z2-gGe7MjUOdhXfdP1qmzel1CyLD7Vy9aoQLcZhMnJiv5NeHGC0YgYzaQT3PZp-Y6HTKLQg7VEsLpODG-FEzPKrALQ6lf72UxZ9J0xJcpE4dvqinOf9N3fgwQmMcA7-H-xjHSFxFFKo5YGrZYhD3Y-MV41EEmh3ty3nYXA2Po1yKrinK7cU78Xu7cG-5PF-hIUkdSCk92yc3NGdvDkBipzGelEMHIt2xFKArpSo_119cE1C_invj4IfzqDj_smieB0dKsgGMZSmWBOfW3r0te1Qz67EiVeIzztE3hVneAn3-ifKcq8Q5xCIl4q0Vgqyv8zmbVfVgwv7Th7wEPKftqgWymDOXhvakJ5IYfVNkF9LXw62bw0NdSOrgynXLLg0KtsEUv1AfNCK0VRFk47wsrCUIsVH5z6SO9_LRpFj3f9LTAe40WT8yHKJUYcmtdFTA-kyrHQkUtosCRXd4NYF3lyb9uwUs5Mne15MqM60y_nZv0dz0GPZukk4oNtdLX4P4LhJJsvKdrKmJpfDhSWCf5W97MqLON2jXdduh-Nu4Z34kgSdZwrbZ_Tk3joamTLxnbVBh6fDnSTKGs6Aj8rd24SriagqIavFUuLUUvJZDY4YNQPb9mCg27Q_u1dXcf2EUtCQxrQqAvNtChnvUEdLNpov-mpgL3hBVjamVKFPO3d67xGvaqwHKG4WpO8Ok2gvx31zvyy6VgJP1V_UwF1dB1aeSR6EPIJTMMj9nqgZjjniOJ71DyzD54tI3xA0zMzgvLj1CeIOnCYzR2ptuxjyQ%3D%3D,10,
Transformers Autobots Adjustable Baseball Black Embroidered Unisex Cap/Hat,https://assets.kogan.com/images/kg-electronic/KXG-TRAN-AUTO-CAP-BLK/1-132c7a863b-tran-auto-cap-blk.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-transformers-autobots-adjustable-outdoor-baseball-black-embroidered-unisex-cap-tran-auto-cap-blk/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=oeB4j4vl6no2MCCKio7TBqGfv6-KI7PA1nh_aepciHzdstbYNQVypNZAOSKQpokaRuPnhrTRLtgRalwlFSQ_aLi6Ct9KrM8VgiLkqojerqM6Ts0Ez1R9PJes318TtyV8r-uA10TnJb67dv_DWPDiCqmsdPiyaXwzbirNToyuMqgWGrxETEzW37zZaukTznf0O0ve8vLxuecXVQGJSOQaYSug_rW1lhe0uWStSm77fJBhTf5AAp9xP_JEX1Uwn3dFFkg13bUb3tHJZB20gmXlcY-PCjKUEGAXx98-NVRmt-y2nV2GhM6s_0CAghb73RrYmWWvjbLArzInEyXTIRgCxVegvYMU9X2f48YqUA0MaAVYjioIFkCh1-l_lsBs6tSTuKxDIAaRZJkb8TdaM-N2hnsJSLV3OMkCh4k6qdQCDUvptHv6CRAEaM5lVfFpGxvnbQFwhJgsc40NsUB0ijlKO1smyYluoS16ZhYKBLSBNSAY1MbsLCHpyAkyaOI-ZQ%3D%3D,17.10,Boxing Day Sale
AOC Australian Olympic Adults One Size Adjustable Supporter Cap/Hat Sport Gold,https://assets.kogan.com/images/kg-electronic/KXG-SC-A-GD-ONE-SIZE/1-ce8008a843-sc-a-gd-one-size.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-aoc-australian-olympic-adults-one-size-adjustable-supporter-caphat-sport-gold-sc-a-gd-one-size/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=YW2wg-YFocJ-FLARlMHkKbc1plcjhL-iSFbz_j5nzoQNdnpG-2GEeR1I_PQNLz-G2juJPKz89MPBBNjoTLS_KzLefJZ_rf80TtjAFXeUHzYd23ZEWCBb37SQFVxTvZ0r0hRaOHmnLnCVzWsyaX2zB-YmywjghAdnsh0PJ9vUCNL180hlAiAdTOtgdLLOV8dHvjc880k2RxWFzjfcQ91fyln9ktqdpR60ep88b5FNqhAaSKky0NoGPRWwJGgIlJdOKqQx3MJ2a6pXx0GfKIvIbWKTMIhVXfLEqFSFQIS0PNuOKVtZ28wvZ_uDwyoMdej0QG384BLenQlj4o-lFoXRtShxe-gDAW0o51JgVnU-tqxGQ3KgoNSR-zs9-8F3maBFnjBvsKXJ-XNk0HYL3FknC1zzQ1m4SEy2jXMEFakEtoNkxJZKO3zER4TG29-TNd05VMYC7r-_MPrPs-m97zqPY9ZK9mbuqXs2nfMwwIq0276O7OZpqjIPzf1GgF60,16.20,Boxing Day Sale
John Deere LP83266-JD Cotton Twill Cap/Hat Embroidered Logo Charcoal One Size,https://assets.kogan.com/images/kg-electronic/KXG-J13G-03DY-JDR-7H6/1-4bdde9e4c8-j13g-03dy-jdr-7h6.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-john-deere-lp83266-jd-cotton-twill-caphat-embroidered-logo-charcoal-one-size-j13g-03dy-jdr-7h6/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=PpVGykvZ7VV4L0NfoHer3eJAdeig-NIJ-KuAvQa9B265XynW_LFHWOHlWnGjS_b6EGtIfasLs8ojzwO78k-8LlG45pl3eEcvF6FmRIiylH-O7DogQI0-UVTJb7cItTKhhLxH6cgfoHUbxYu7nGNByMFTyYG1QimNZJTAC7TNJbdkY7D0R397rht6Hdy9BJuZGBaKC5iwE39PobBKhEswyFIt2NZ1pfd916CcDS_9tUdZszOo0JISfX4UjQJNDpOV3_pJvaHH4nNgUnpx-tyZ-hDGyQwMa0YR8Lbjjz1-nxLr_q5HQ8xzgFC08KM0hN3zd204-ATakdUqJkyCY6Hu1NqDz8ysTbO_Laja2O3LYlYX7P5VllD1iJAHKdf2mjT0Ka1C10uOu7WFAP7jvk5JW1t2q6bW1oFvKKCyB5ci3tjgWJKzDXwsYZI-KWEOvR9P1xzcqd4CZnlfutlE0NGApFVHjpssV-QVSeM6aeHQaLdN-5_X8bxS21COUa1bpg%3D%3D,29.70,Boxing Day Sale
John Deere Men/Unisex One Size Logo Mesh 100% Cotton Twill Cap/Hat Black/Green,https://assets.kogan.com/images/kg-electronic/KXG-13080277BK00/1-f2d3b42e93-13080277bk00.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-john-deere-menunisex-one-size-logo-mesh-100-cotton-twill-caphat-blackgreen-13080277bk00/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=XnsszvyyYv_fiCovvLpD9BtCbWcZHwThTQYjPEdUbFI7h5imMWJ6qxeRVZRlIRbeCHcnqs0vh-tVinYo8ujI1B7U_cq3j9xSR6Nsytdl3RMtOTK2sh0IAn8mp8fKbalXGuujHLV_CQqSELbwMEuMfsXhXjvGDhT8q2UDB7i6_mfMzrWDfxYvdGekWeHVREr_HtfZSijz6hcXYKleOeYcRjpDoLF6nj-TWBl4-1qFg3chzaBW5Ve72sXctUpEVEgn_Adh9_245AAB9e1gTwFY9JFs9uyoOoWhG1Ej1t-EjKbFoHBgxjEEt1wC4JZzNpgw6CA9OLwAfpy0P-7x4vJljlMKcCHK7fVw0Io1ce0Xeuq6jjFCc5HqYRly4FlkrLoVobejl-gR_4folJz2mia-70_jCey6CxHl09uWFo1DmSSziI1s4Jutjr1mE-z2XtGg608ibToXD15By4h7LeShl7BwcNrlSuCuXTEioe1VLr8rX5gUs-B8ASY%3D,23.40,Boxing Day Sale
ACDC Knitted Pom Pom Beanie Warm Winter Hat,https://assets.kogan.com/images/npcamusements/NPC-158226/1-1f8955df06-ac0421a-acdc-pom-pom-beanie-black.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/giftbox-pom-pom-acdc-beanie-561361/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=QMRievamB6PJd5WHke9Z3gPADcgDvkfkfvh73YBQJCHFaW9Fzhoi7AEeIF6zh_SAPBWYnF4-9fjPn0M9dBhjCL2jTh3kiIFOm0BUyAc-bMC59daHkNUjiO3yI85yIFpn2VGlga5mucExLAjAv_9_1l5S-Wh9WdcikU813sajJ2MdUtrWnBlVSanY8a8Lm2PTJmu4pYf-rB7y7WVj-Ves5ct36StYj3yKS5AucoueoiKR4qgPi6tJyMCSQiwZbKj3vG-rP5cwtIwUucgE5yFDGD-XNEATTrpOESr_27rxvSnqwEZtZ0UcbAUoZp21QW_eTpjFHg0INTSThQPkr0KWHyQc0sGGT6Sm3u-zPhaxn63bpt1RzKU5oO1ET9qeJ38XrnJgxGVuwKW3FKr0z0alrBUcRG2nRu6G59qo6Vmc-F7zHAWRzdTeYJDv8RgXKZmA-BeD3pFe5fUtuZiDQCkcsr7Cw3JHlIVViOVcdvTrGqc31tCuASUM6QeUtnLE9IMzD3zvE6RVO6zxPFpT9_aiLwJ-CG0wVoYyKdTtxzcgDPLTK-aorqsMBr1E4UAVSNgRINh2KIze056HN8p0tBpThH2BLMQsHBw9-xyMcqqM0xVlII9b5Z6QidmtWh-6eeRIL8lfOs4Az9lmXYw1cfP7OSllGHorY8cqJ7ioA9nQZg1a5xdaV9JZ5_VkJkE7pT1F62hE2UZxtNvS3zqfDTDDbv2ae0VDWIjkuBMIuzfhkPjj86zUHESOo0uzEcf0Wq35KtzqPY1YU1XHiuJDBNq48r38zECB9gPd2eKnjbWsP3hZe8EVi6cpl8Zh7dJQ4hEz15Y3B9533ScRO_zUn4Zg0dvdZv0YGaYHTLnXKzh_tidnvJFu8WRSKtnkin8_ygycU7XZC8hyFTSCUatvwknGEahjBYItzDXBgO9QLKtGg6DZGSaX_TuMwZbzTJdlbtmJ0jGPLNP56vrzzHZs41o8G_iFKNQbWkriAILM_vOfPk-ctPA9gJx0ceCwhxQ2JITp9KLWo9Z3oWz1kJeGj9VJuFyQsovUFIMNvJ2Rp7TLnzIYz5mtikrZY0XRDoGAwVDsVO5SUOiZec3XpS2yQYbLE3x3Gm2na1LDixDS0TiTP3imOftixyfcCESmyCfFHrb_nfA1GlOKHegiXzTu3-VU-EyWb3kTFoPOjy5UxWRR1eym7j5fFOkocxKgsiH5nBVSk8o%3D,25,
Metallica Logo Bucket Hat,https://assets.kogan.com/images/giftbox/GBO-582306/1-981d0ae224-582306_000_001.png?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=90&width=340,https://www.kogan.com/au/buy/giftbox-metallica-logo-bucket-hat-582306/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=SqxL5-yS4S0oNmoqhJ-JKruTmC_0KC_v9FGM75SvARn7cNYM5rWkn_Taf4dugw5gKxDWv-tn6c4hWvVDIOMDYWNFL7ceTxr4ZnCsdycoAe4U4BAkEx7C26Wco-2WoPl5JJl34dVz3JIdnyoiB9C81bQQpE_gXRRfKZImoaqFAuth3zakyH9b_gK1DF6yE1AS3tbqC-TeTSiGKUi6QK5y6_eOQ6w0P3uRk2TKnf2ZEZK6sCwFR-5wcN96lAe2tTwi-6pLxUBM3fJN20HIvum7UJ027q1F5_Gso5AYVxKATGZr1u5gaVDHI7g7ccXW4V2dpx9Em3bF32wtfij-XaR5jrg9_wGIQ_6-UTtmxhVwUuWTv1kD8PvEgfnsz-R2BmYRavlOoeVL3Ju1mFnVCYGOBstyLNDEJp2HAJ5rM8_hsiwksak5533agM_tHO0v1dmyRF2BRrlXCgX79UXqRDDrnMYdYTQGnRv5ALoZ-zDHCZgtPL-WpDIgnpUi4CS_2Sz2oJs573zr_ZkWxxn0hEUR6poolDAppQGEAU_S5XCdUNDYaivRi9If6vr03nfP3EmW8eFsG3K3nu23F9FGUY73tuRGAV2G2SGAcXiwp8w5cSVLU_o1SSvuySOhdyB0hETNWebbV7Q_jVTruxCDIGE849gEdzplZEm0KImzAR6U-dWnjkEN4761dA9qbQjH2nc9E-9WUZyljxIP_6ZzdUoHqjDH0M_BMnAw3fKNF9pChFH-1-b_luBkEgzKWs5Nt3QFW1fyjG_aDPhCTXiv21mvohBt3Bqnejl-eoHQt2Q51i2hWfHPawq5i8xuHCsjtU3SM8PsTW211nXq0HEzafoGt-Ith3_qE4lPmQKlItf5zdglZDS_S6wzoEYVHxqG0vH7csxIaGx2Feb6NysuQfL0vG2fm0V6qlfwZMp_N-j-8hyGmyEQDgL8o9NtE_e6V8sZ9YorPiQcdGq6XcUgXo94gCu7-Mi3ptDEUo1xitquEJfsju7fvXvl_mVIve_AZl-2ZFbo7YBNkuLYgrWcZHAPT5Rvw-AmbHXiETOUZA2UpecQTcQkMKhswBgMplSQwPOsYMD3VQE31eZru0kKmudhAqCQ-vYHBdoIttiuPuqg4ed1WZP8kVUFzMjxqqjiWNYZkB37a9_h2uwmu026iwhD_byWcOnY5_4k8PIKtqYffdVAZB7dTfNj7ErsHNhwIE7wPQXquWD2,10,
Ontel Arctic Evaporative Unisex Adult Summer UV Protection Outdoor Cooling Hat,https://assets.kogan.com/images/kg-electronic/KXG-ARCHAT/1-3282c52510-archat.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-ontel-arctic-evaporative-unisex-adult-summer-uv-protection-outdoor-cooling-hat-archat/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=HPU4h77QXLlMhE8dTsLoMmrp5M7xTkK4qUwflbCr1k2LInpUwyM5Bja2Kg4-0xLgC6eSKkDf0JaKw8-1sk_w-1_FWKUYzoV6cWnpVk-1CCVg6heqwXfWh4BVczleCnqk3tF1j-H2zESoL7PFB58cf5T6-Owubgt2yfZqJGgNUpuAQbZGV8oMYHb2twuGuyt6H04Zx2sE5EAcdCAwbX7Ymg4fkOqg0ZpRwl2oZ76Y-Hzl9foIl3fZtonerhpVmWshzuogXlmZZK9oHoeJrWMzxBKPHBG3IRsD0-pKoETClgDtD_kZ5n-QkMXqCUvLLQAWRbUL2WuptY5SSU7oNf5b-ikbHu2FT3zpAlG6leQxntrZYsL_lhTGSf9RNNx527EMfS2L_EwWsPC2dBdGpws02Nl6tsCGGFyDNsWsGgy3qoe07N1LR_VLt246dqqdnR-fW-Z67zbfXm94Nv7oDcs7Tr4OgL__LvBvl13UEW0tInT431M%3D,26.95,Boxing Day Sale
John Deere Men/Unisex One Size Logo Cotton/Poly Adjustable Oilskin Cap/Hat Brown,https://assets.kogan.com/images/kg-electronic/KXG-13080099BW00/1-7b4c3ea4c5-13080099bw00.jpg?auto=webp&bg-color=fff&canvas=340%2C226&fit=bounds&height=226&quality=75&width=340,https://www.kogan.com/au/buy/kg-superstore-john-deere-menunisex-one-size-logo-cottonpoly-adjustable-oilskin-caphat-brown-13080099bw00/?ssid=201.9442caf5-7a51-4243-8d06-51933e97fa27&click_id=WqdMSTMHxqafLlAgJ4iP_EPq3NF804BHoWFO0oyDUD1U9nLdLzUFPj3tP3M3BkKzJCIqeS0QL3CHtUiwfNWVMJbdU-tfpQ8VyNRHAIJXY2sTAfAh-H9a679c4nq6o375FK8_1lbJdsqaMHSwrGoYRkIqxigjKslGDqdKC89lLiGic6p6Dfs7fCFZSiGF6YIVfLXi7vH5qaZWoy4i0VG7BfoJyOltA5J-6OJutxBnsT7s3fSxEnkv_9SZPdwg2juQ36bHdghZtujcKYqKd2lQ4ceOIUswalyzAZh4gEn8zsmht6g1qVRMJOgPeQs7KffGQrvcLiSX9f7x14yO0zJ6j_eF8h32hbE6uIhsIJAp5yFT7EngsjyXzMAQvpBnctHwP1Z-5gnlKQR83dZYvUBEex8HjBwjPja3QIhQpW9fh_86_z6c6CoSGcMeSmryHel8MwvbV-UyBSIPdHlZyg1pjrd9OO-GQ-ya4cPhd0McgVno3jLYgRyk1Hch,33.30,Boxing Day Sale
